Trade Date/Time,CUSIP *,Security Description *,Coupon(%),MaturityDate,Price (%),Yield (%),Calculation/ Date & Price (%),TradeAmount($),SpecialCondition
01/24/2019 07:40 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.233,2.61,"09/15/2028
@ 100","10,000,000",Customer bought,-
01/23/2019 10:25 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.153,2.62,"09/15/2028
@ 100","5,650,000",Customer bought,-
01/18/2019 09:47 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.922,2.54,"09/15/2028
@ 100","145,000",Customer bought,-
01/18/2019 09:43 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.922,2.54,"09/15/2028
@ 100","1,975,000",Customer bought,-
01/16/2019 01:20 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.175,2.516,"09/15/2028
@ 100","215,000",Inter-dealer trade,
01/16/2019 01:20 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.235,2.51,"09/15/2028
@ 100","215,000",Inter-dealer trade,
01/16/2019 01:20 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,122.175,2.412,"09/15/2028
@ 100","215,000",Customer bought,-
01/15/2019 09:59 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.145,2.52,"09/15/2028
@ 100","400,000",Customer bought,-
01/14/2019 09:40 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.15,2.52,"09/15/2028
@ 100","615,000",Customer bought,-
01/14/2019 09:31 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.959,2.54,"09/15/2028
@ 100","10,000,000",Customer sold,-
01/08/2019 09:45 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.895,2.55,"09/15/2028
@ 100","1,000,000",Customer bought,-
01/07/2019 01:07 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.996,2.54,"09/15/2028
@ 100","1,950,000",Customer bought,-
01/07/2019 11:51 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.901,2.55,"09/15/2028
@ 100","10,000,000",Customer bought,-
01/07/2019 11:01 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.996,2.54,"09/15/2028
@ 100","350,000",Customer bought,-
01/07/2019 10:59 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.801,2.56,"09/15/2028
@ 100","22,300,000",Customer sold,-
01/04/2019 10:47 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","22,300,000",Inter-dealer trade,-
01/04/2019 10:47 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","22,300,000",Customer bought,-
01/04/2019 10:25 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","100,000",Customer bought,
01/04/2019 10:25 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","100,000",Customer bought,
01/04/2019 10:25 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","100,000",Customer bought,
01/04/2019 10:21 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","300,000",Inter-dealer trade,-
01/04/2019 09:24 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","50,000",Customer bought,-
01/04/2019 09:16 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","100,000",Customer bought,
01/04/2019 09:15 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","100,000",Inter-dealer trade,-
01/04/2019 08:56 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.384,2.5,"09/15/2028
@ 100","500,000",Customer bought,-
01/03/2019 04:18 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.39,2.5,"09/15/2028
@ 100","10,000,000",Customer sold,-
01/03/2019 04:18 PM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,121.39,2.5,"09/15/2028
@ 100","10,000,000",Inter-dealer trade,-
01/03/2019 10:24 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.816,2.56,"09/15/2028
@ 100","13,250,000",Inter-dealer trade,-
01/03/2019 10:23 AM,64990FHW7,DORMITORY AUTHORITY OF THE STATE OF NEW YORK / STATE PERSONAL INCOME TAX REVENUE BONDS (GENERAL PURPOSE) SERIES 2018A (TAX-EXEMPT),5,09/15/2030,120.766,2.565,"09/15/2028
@ 100","13,250,000",Inter-dealer trade,-
01/23/2019 12:22 PM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,113.657,2.87,"03/15/2026
@ 100","50,000",Inter-dealer trade,
01/23/2019 12:22 PM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,113.657,2.87,"03/15/2026
@ 100","50,000",Inter-dealer trade,
01/23/2019 12:22 PM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,115.657,2.584,"03/15/2026
@ 100","50,000",Customer bought,-
01/17/2019 01:28 PM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,112.093,3.1,"03/15/2026
@ 100","10,000",Customer sold,-
01/11/2019 08:17 AM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,111.933,3.128,"03/15/2026
@ 100","45,000",Customer sold,-
01/11/2019 08:17 AM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,112.083,3.106,"03/15/2026
@ 100","45,000",Inter-dealer trade,
01/07/2019 01:48 PM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,112.489,3.05,"03/15/2026
@ 100","35,000",Customer sold,-
01/03/2019 10:09 AM,59333RGV0,"SCHOOL DISTRICT OF MIAMI-DADE COUNTY, FLORIDA / GENERAL OBLIGATION SCHOOL BONDS, SERIES 2016",5,03/15/2035,111.777,3.155,"03/15/2026
@ 100","20,000",Inter-dealer trade,
01/24/2019 11:23 AM,915183C47,STATE BOARD OF REGENTS OF THE STATE OF UTAH / UNIVERSITY OF UTAH - GENERAL REVENUE - SERIES 2014B (REFUND),5,08/01/2028,112.97,1.979,"08/01/2023
@ 100","290,000",Customer bought,-
01/24/2019 11:23 AM,915183C47,STATE BOARD OF REGENTS OF THE STATE OF UTAH / UNIVERSITY OF UTAH - GENERAL REVENUE - SERIES 2014B (REFUND),5,08/01/2028,112.595,2.06,"08/01/2023
@ 100","290,000",Inter-dealer trade,-
01/22/2019 01:07 PM,915183C47,STATE BOARD OF REGENTS OF THE STATE OF UTAH / UNIVERSITY OF UTAH - GENERAL REVENUE - SERIES 2014B (REFUND),5,08/01/2028,112.26,2.139,"08/01/2023
@ 100","290,000",Customer sold,-
01/29/2019 02:41 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,112.347,2.201,"10/01/2023
@ 100","5,000",Inter-dealer trade,
01/29/2019 02:41 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,112.347,2.201,"10/01/2023
@ 100","5,000",Customer bought,
01/28/2019 01:10 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,112.914,2.083,"10/01/2023
@ 100","25,000",Inter-dealer trade,
01/28/2019 01:10 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.164,2.03,"10/01/2023
@ 100","25,000",Inter-dealer trade,-
01/28/2019 01:10 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,115.002,1.648,"10/01/2023
@ 100","25,000",Customer bought,-
01/28/2019 01:09 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.164,2.03,"10/01/2023
@ 100","25,000",Inter-dealer trade,
01/24/2019 01:29 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.084,2.05,"10/01/2023
@ 100","150,000",Inter-dealer trade,-
01/24/2019 01:29 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.459,1.972,"10/01/2023
@ 100","50,000",Customer bought,-
01/24/2019 01:29 PM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.459,1.972,"10/01/2023
@ 100","100,000",Customer bought,-
01/24/2019 11:24 AM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.084,2.05,"10/01/2023
@ 100","200,000",Inter-dealer trade,-
01/24/2019 11:24 AM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.459,1.972,"10/01/2023
@ 100","200,000",Customer bought,-
01/16/2019 10:42 AM,874476HV9,"CITY OF TALLAHASSEE, FLORIDA / ENERGY SYSTEM REFUNDING REVENUE BONDS, SERIES 2015",5,10/01/2027,113.014,2.08,"10/01/2023
@ 100","1,460,000",Customer sold,-
